iter	Passed	Remaining
738	1108	391
739	1109	389
740	1110	388
741	1111	386
742	1112	384
743	1114	383
744	1115	381
745	1116	380
746	1117	378
747	1118	376
748	1119	375
749	1121	373
750	1122	372
751	1123	370
752	1124	368
753	1125	367
754	1126	365
755	1127	363
756	1128	362
757	1129	360
758	1131	359
759	1132	357
760	1133	356
761	1134	354
762	1136	352
763	1137	351
764	1138	349
765	1139	348
766	1140	346
767	1141	344
768	1142	343
769	1143	341
770	1144	340
771	1145	338
772	1147	336
773	1148	335
774	1149	333
775	1150	332
776	1151	330
777	1152	328
778	1154	327
779	1155	325
780	1156	324
781	1157	322
782	1158	321
783	1159	319
784	1161	317
785	1162	316
786	1163	314
787	1164	313
788	1165	311
789	1166	310
790	1167	308
791	1168	306
792	1170	305
793	1171	303
794	1172	302
795	1173	300
796	1174	299
797	1175	297
798	1176	296
799	1178	294
800	1179	293
801	1180	291
802	1181	289
803	1182	288
804	1183	286
805	1184	285
806	1185	283
807	1187	282
808	1188	280
809	1189	278
810	1190	277
811	1191	275
812	1193	274
813	1194	272
814	1195	271
815	1196	269
816	1197	268
817	1198	266
818	1199	265
819	1200	263
820	1202	262
821	1203	260
822	1204	259
823	1205	257
824	1206	255
825	1208	254
826	1209	252
827	1210	251
828	1211	249
829	1212	248
830	1213	246
831	1214	245
832	1215	243
833	1217	242
834	1218	240
835	1219	239
836	1220	237
837	1221	236
838	1223	234
839	1224	233
840	1225	231
841	1226	230
842	1227	228
843	1228	227
844	1229	225
845	1230	224
846	1232	222
847	1233	221
848	1234	219
849	1235	218
850	1237	216
851	1238	215
852	1239	213
853	1240	212
854	1241	210
855	1242	209
856	1243	207
857	1245	206
858	1246	204
859	1247	203
860	1248	201
861	1249	200
862	1250	198
863	1252	197
864	1253	195
865	1254	194
866	1255	192
867	1256	191
868	1257	189
869	1259	188
870	1260	186
871	1261	185
872	1262	183
873	1263	182
874	1264	180
875	1266	179
876	1267	177
877	1268	176
878	1269	174
879	1270	173
880	1271	171
881	1272	170
882	1274	168
883	1275	167
884	1276	165
885	1277	164
886	1278	162
887	1279	161
888	1281	159
889	1282	158
890	1283	157
891	1284	155
892	1285	154
893	1286	152
894	1287	151
895	1289	149
896	1290	148
897	1291	146
898	1292	145
899	1293	143
900	1294	142
901	1296	140
902	1297	139
903	1298	137
904	1299	136
905	1300	134
906	1301	133
907	1302	132
908	1304	130
909	1305	129
910	1306	127
911	1307	126
912	1308	124
913	1309	123
914	1311	121
915	1312	120
916	1313	118
917	1314	117
918	1315	115
919	1316	114
920	1317	113
921	1319	111
922	1320	110
923	1321	108
924	1322	107
925	1323	105
926	1324	104
927	1325	102
928	1327	101
929	1328	99
930	1329	98
931	1330	97
932	1331	95
933	1332	94
934	1334	92
935	1335	91
936	1336	89
937	1337	88
938	1338	86
939	1339	85
940	1341	84
941	1342	82
942	1343	81
943	1344	79
944	1345	78
945	1347	76
946	1348	75
947	1349	74
948	1350	72
949	1351	71
950	1352	69
951	1354	68
952	1355	66
953	1356	65
954	1357	63
955	1358	62
956	1359	61
957	1361	59
958	1362	58
959	1363	56
960	1364	55
961	1365	53
962	1366	52
963	1368	51
964	1369	49
965	1370	48
966	1371	46
967	1372	45
968	1374	43
969	1375	42
970	1376	41
971	1378	39
972	1379	38
973	1380	36
974	1381	35
975	1382	34
976	1384	32
977	1385	31
978	1386	29
979	1387	28
980	1389	26
981	1390	25
982	1391	24
983	1392	22
984	1394	21
985	1395	19
986	1396	18
987	1397	16
988	1399	15
989	1400	14
990	1401	12
991	1402	11
992	1403	9
993	1404	8
994	1406	7
995	1407	5
996	1408	4
997	1409	2
998	1410	1
999	1412	0
